engine	orientation	clip	correct_names	wer	cer
doctr	True	True	True	0.8533334136009216	0.6751869916915894
doctr	True	True	False	0.8028924465179443	0.600601851940155
doctr	True	False	True	0.7188889980316162	0.4997316896915436
doctr	True	False	False	0.7074911594390869	0.47725337743759155
doctr	False	True	True	0.8148148059844971	0.6182200312614441
doctr	False	True	False	0.7590563893318176	0.5711274743080139
doctr	False	False	True	0.7826454639434814	0.677096962928772
doctr	False	False	False	0.7518452405929565	0.5522077679634094
easyocr	True	True	True	0.8224338293075562	0.6448120474815369
easyocr	True	True	False	0.7505643963813782	0.5921705961227417
easyocr	True	False	True	0.6944973468780518	0.5290693640708923
easyocr	True	False	False	0.6671340465545654	0.4843597710132599
easyocr	False	True	True	0.8406349420547485	0.6640341877937317
easyocr	False	True	False	0.740731954574585	0.5696117877960205
easyocr	False	False	True	0.8488889932632446	0.6904884576797485
easyocr	False	False	False	0.7427777647972107	0.575124204158783
pytesseract	True	True	True	0.9333333373069763	0.8713312149047852
pytesseract	True	True	False	0.9333333373069763	0.8240419030189514
pytesseract	True	False	True	0.9888888597488403	0.9182235598564148
pytesseract	True	False	False	0.9555556178092957	0.8280462026596069
pytesseract	False	True	True	0.9888889193534851	0.937028169631958
pytesseract	False	True	False	0.9666666388511658	0.8773114681243896
pytesseract	False	False	True	1.0	0.9873015880584717
pytesseract	False	False	False	0.9925926327705383	0.873871386051178
