BREYTENBACH	Ryn	1:59.90
KAMMANN	Bjorn	2:01.48
KIMENSHCHEY	Vadin	1:55.98
WANGK	Kuan-Hung	1:56.86
BURNS	Brendan	1:59.34
KHOUZAM	Jean-Pere	2:04.38
TAN	Ephraim	2:04.36
