CORBY	Archie	1:01.16
GOODBURN	Gabe	1:01.16
MASTROMATTEO	Josh	1:00.69
MATHENY	KevIN	1:00.17
HOUSEMAN	VadisioY	1:00.55
SATO	Yuta	1:01.26
