TXLA	CoX	1:07.51
WEISST	Emily	1:07.56
TUCKER	Miranda	1:07.33
LARSON	Breeja	1:06.78
HARTMAN	Zoie	1:07.37
DOBLER	Koitlyn	1:07.23
ANDREWS	Elie	1:08.37
POPOV	Nikol	1:08.93
